Date,Close
2005-02-25,2049.793526
2005-02-28,2034.085873
2005-03-01,2054.368035
2005-03-02,2055.139639
2005-03-03,2043.014434
2005-03-04,2055.663227
2005-03-07,2072.335385
2005-03-08,2056.875748
2005-03-09,2048.746349
2005-03-10,2040.424049
2005-03-11,2027.940599
2005-03-14,2031.523046
2005-03-15,2020.858376
2005-03-16,2001.678506
2005-03-17,2005.481411
2005-03-18,1987.43139
2005-03-21,1989.994217
2005-03-22,1972.495341
2005-03-23,1974.314122
2005-03-24,1978.613059
2005-03-28,1976.57382
2005-03-29,1957.58685
2005-03-30,1989.746202
2005-03-31,1980.101152
2005-04-01,1970.015186
2005-04-04,1976.325804
2005-04-05,1982.939552
2005-04-06,1982.66398
2005-04-07,2000.906902
2005-04-08,1984.427646
2005-04-11,1975.306184
2005-04-12,1990.793379
2005-04-13,1958.634027
2005-04-14,1935.265449
2005-04-15,1893.405934
2005-04-18,1898.338688
2005-04-19,1915.782449
2005-04-20,1901.56289
2005-04-21,1941.631182
2005-04-22,1920.797875
2005-04-25,1932.702622
2005-04-26,1913.688095
2005-04-27,1913.467637
2005-04-28,1887.674018
2005-04-29,1904.566634
2005-05-02,1906.082285
2005-05-03,1916.306037
2005-05-04,1945.158515
2005-05-05,1948.713404
2005-05-06,1950.725086
2005-05-09,1963.401437
2005-05-10,1950.008597
2005-05-11,1957.063262
2005-05-12,1948.465389
2005-05-13,1963.925026
2005-05-16,1982.140391
2005-05-17,1992.777503
2005-05-18,2018.350664
2005-05-19,2028.987775
2005-05-20,2032.322207
2005-05-23,2043.75848
2005-05-24,2043.014434
2005-05-25,2038.605268
2005-05-26,2059.163003
2005-05-27,2059.934606
2005-05-31,2059.163003
2005-06-01,2066.49324
2005-06-02,2081.511961
2005-06-03,2060.182622
2005-06-06,2060.430638
2005-06-07,2055.911243
2005-06-08,2048.002302
2005-06-09,2062.469877
2005-06-10,2050.840702
2005-06-13,2058.446513
2005-06-14,2057.922925
2005-06-15,2060.182622
2005-06-16,2076.661878
2005-06-17,2074.181723
2005-06-20,2072.087369
2005-06-21,2072.858973
2005-06-22,2076.44142
2005-06-23,2054.643608
2005-06-24,2037.144732
2005-06-27,2027.554797
2005-06-28,2053.320858
2005-06-29,2052.108338
2005-06-30,2039.101299
2005-07-01,2040.947637
2005-07-05,2063.517054
2005-07-06,2055.387654
2005-07-07,2058.17094
2005-07-08,2094.904801
2005-07-11,2119.017425
2005-07-12,2128.331788
2005-07-13,2129.874996
2005-07-14,2138.941342
2005-07-15,2140.236535
2005-07-18,2135.689583
2005-07-19,2158.727473
2005-07-20,2172.671459
2005-07-21,2168.152064
2005-07-22,2159.995108
2005-07-25,2159.251061
2005-07-26,2161.317858
2005-07-27,2170.962908
2005-07-28,2182.840097
2005-07-29,2170.191304
2005-08-01,2179.533223
2005-08-02,2199.787828
2005-08-03,2202.29554
2005-08-04,2175.427188
2005-08-05,2161.565873
2005-08-08,2147.318757
2005-08-09,2154.483651
2005-08-10,2140.78768
2005-08-11,2159.251061
2005-08-12,2136.213171
2005-08-15,2153.68449
2005-08-16,2121.718039
2005-08-17,2132.189808
2005-08-18,2123.013232
2005-08-19,2123.757278
2005-08-22,2126.016976
2005-08-23,2125.520945
2005-08-24,2115.159405
2005-08-25,2121.470024
2005-08-26,2109.12436
2005-08-29,2123.013232
2005-08-30,2116.730171
2005-08-31,2138.66577
2005-09-01,2135.41401
2005-09-02,2124.997356
2005-09-06,2151.948381
2005-09-07,2160.794269
2005-09-08,2152.444412
2005-09-09,2164.046029
2005-09-12,2167.104888
2005-09-13,2162.282363
2005-09-14,2140.236535
2005-09-15,2131.941792
2005-09-16,2145.334633
2005-09-19,2132.46538
2005-09-20,2117.970249
2005-09-21,2092.149073
2005-09-22,2098.184118
2005-09-23,2100.994961
2005-09-26,2103.502674
2005-09-27,2102.979086
2005-09-28,2102.483054
2005-09-29,2125.76896
2005-09-30,2135.165994
2005-10-03,2141.8073
2005-10-04,2126.016976
2005-10-05,2090.330292
2005-10-06,2070.268588
2005-10-07,2076.165847
2005-10-10,2065.28072
2005-10-11,2044.971001
2005-10-12,2022.677157
2005-10-13,2033.093811
2005-10-14,2049.793526
2005-10-17,2057.399336
2005-10-18,2042.24283
2005-10-19,2077.653941
2005-10-20,2054.120019
2005-10-21,2068.064006
2005-10-24,2098.184118
2005-10-25,2096.117322
2005-10-26,2085.948683
2005-10-27,2054.368035
2005-10-28,2074.705311
2005-10-31,2104.742752
2005-11-01,2099.975341
2005-11-02,2130.123011
2005-11-03,2147.566773
2005-11-04,2154.704109
2005-11-07,2164.817633
2005-11-08,2160.794269
2005-11-09,2164.294045
2005-11-10,2183.584144
2005-11-11,2191.630871
2005-11-14,2190.197892
2005-11-15,2174.18711
2005-11-16,2175.427188
2005-11-17,2207.145623
2005-11-18,2217.534719
2005-11-21,2230.403971
2005-11-22,2240.76551
2005-11-23,2247.213915
2005-11-25,2251.760867
2005-11-28,2226.683738
2005-11-29,2220.56602
2005-11-30,2219.077927
2005-12-01,2256.307819
2005-12-02,2262.205078
2005-12-05,2247.709946
2005-12-06,2250.438117
2005-12-07,2239.55299
2005-12-08,2233.46283
2005-12-09,2245.422691
2005-12-12,2246.965899
2005-12-13,2252.008883
2005-12-14,2249.969643
2005-12-15,2246.194295
2005-12-16,2239.387646
2005-12-19,2208.413258
2005-12-20,2207.889669
2005-12-21,2217.259146
2005-12-22,2232.415653
2005-12-23,2236.080772
2005-12-27,2215.467923
2005-12-28,2222.577702
2005-12-29,2205.354399
2005-12-30,2192.430032
2006-01-03,2227.427784
2006-01-04,2250.438117
2006-01-05,2261.157901
2006-01-06,2290.50641
2006-01-09,2305.442458
2006-01-10,2306.186505
2006-01-11,2316.07957
2006-01-12,2304.698411
2006-01-13,2303.954365
2006-01-17,2288.494728
2006-01-18,2267.137832
2006-01-19,2287.227093
2006-01-20,2236.60436
2006-01-23,2233.986418
2006-01-24,2251.485294
2006-01-25,2242.584291
2006-01-26,2270.775394
2006-01-27,2288.274269
2006-01-30,2292.793664
2006-01-31,2288.274269
2006-02-01,2296.8997
2006-02-02,2268.185009
2006-02-03,2248.950024
2006-02-06,2243.879483
2006-02-07,2229.632367
2006-02-08,2255.040184
2006-02-09,2241.812687
2006-02-10,2249.473612
2006-02-13,2229.191451
2006-02-14,2249.198039
2006-02-15,2264.409661
2006-02-16,2281.660521
2006-02-17,2273.062648
2006-02-21,2250.190102
2006-02-22,2273.062648
2006-02-23,2267.633863
2006-02-24,2270.499821
2006-02-27,2295.88008
2006-02-28,2273.779138
2006-03-01,2302.411157
2006-03-02,2298.801152
2006-03-03,2292.049618
2006-03-06,2275.570361
2006-03-07,2259.091105
2006-03-08,2257.547897
2006-03-09,2242.033145
2006-03-10,2252.94583
2006-03-13,2254.792168
2006-03-14,2282.625026
2006-03-15,2300.123902
2006-03-16,2290.010378
2006-03-17,2290.230837
2006-03-20,2298.332678
2006-03-21,2277.582043
2006-03-22,2289.734806
2006-03-23,2283.644646
2006-03-24,2298.608251
2006-03-27,2300.371918
2006-03-28,2289.734806
2006-03-29,2321.646142
2006-03-30,2327.24027
2006-03-31,2328.755921
2006-04-03,2322.16973
2006-04-04,2330.79516
2006-04-05,2344.766704
2006-04-06,2346.723271
2006-04-07,2324.953016
2006-04-10,2314.811935
2006-04-11,2293.289695
2006-04-12,2299.848329
